cat-id,ra,dec
420,224.37304337900002,1.51566149095
422,224.43042055,1.3551648489700001
423,224.56241204900002,0.834289436726
424,224.811615416,1.3004820549
428,224.676295065,1.47895811859
429,224.943045888,0.7215599938689999
430,224.572651355,0.689426797391
431,225.22842635,1.3417149346600001
432,225.13866323,1.38024223809
434,224.967326794,1.08430139646
435,224.99742152299999,1.16729925629
437,225.311793662,0.80776548693
439,225.186627587,1.0447029062100002
440,225.165262094,1.08420983729
442,225.517558895,1.12692016301
444,224.211799091,1.3549099125200001
578,225.99333624099998,0.37906053088299996
